Date,Name,Symbol,Close
2022-01-03,Apple Inc.,AAPL,182.00999450683594
2022-01-04,Apple Inc.,AAPL,179.6999969482422
2022-01-05,Apple Inc.,AAPL,174.9199981689453
2022-01-06,Apple Inc.,AAPL,172.0
2022-01-07,Apple Inc.,AAPL,172.1699981689453
2022-01-10,Apple Inc.,AAPL,172.19000244140625
2022-01-11,Apple Inc.,AAPL,175.0800018310547
2022-01-12,Apple Inc.,AAPL,175.52999877929688
2022-01-13,Apple Inc.,AAPL,172.19000244140625
2022-01-14,Apple Inc.,AAPL,173.07000732421875
2022-01-18,Apple Inc.,AAPL,169.8000030517578
2022-01-19,Apple Inc.,AAPL,166.22999572753906
2022-01-20,Apple Inc.,AAPL,164.50999450683594
2022-01-21,Apple Inc.,AAPL,162.41000366210938
2022-01-24,Apple Inc.,AAPL,161.6199951171875
2022-01-25,Apple Inc.,AAPL,159.77999877929688
2022-01-26,Apple Inc.,AAPL,159.69000244140625
2022-01-27,Apple Inc.,AAPL,159.22000122070312
2022-01-28,Apple Inc.,AAPL,170.3300018310547
2022-01-31,Apple Inc.,AAPL,174.77999877929688
2022-02-01,Apple Inc.,AAPL,174.61000061035156
2022-02-02,Apple Inc.,AAPL,175.83999633789062
2022-02-03,Apple Inc.,AAPL,172.89999389648438
2022-02-04,Apple Inc.,AAPL,172.38999938964844
2022-02-07,Apple Inc.,AAPL,171.66000366210938
2022-02-08,Apple Inc.,AAPL,174.8300018310547
2022-02-09,Apple Inc.,AAPL,176.27999877929688
2022-02-10,Apple Inc.,AAPL,172.1199951171875
2022-02-11,Apple Inc.,AAPL,168.63999938964844
2022-02-14,Apple Inc.,AAPL,168.8800048828125
2022-02-15,Apple Inc.,AAPL,172.7899932861328
2022-02-16,Apple Inc.,AAPL,172.5500030517578
2022-02-17,Apple Inc.,AAPL,168.8800048828125
2022-02-18,Apple Inc.,AAPL,167.3000030517578
2022-02-22,Apple Inc.,AAPL,164.32000732421875
2022-02-23,Apple Inc.,AAPL,160.07000732421875
2022-02-24,Apple Inc.,AAPL,162.74000549316406
2022-02-25,Apple Inc.,AAPL,164.85000610351562
2022-02-28,Apple Inc.,AAPL,165.1199951171875
2022-03-01,Apple Inc.,AAPL,163.1999969482422
2022-03-02,Apple Inc.,AAPL,166.55999755859375
2022-03-03,Apple Inc.,AAPL,166.22999572753906
2022-03-04,Apple Inc.,AAPL,163.1699981689453
2022-03-07,Apple Inc.,AAPL,159.3000030517578
2022-03-08,Apple Inc.,AAPL,157.44000244140625
2022-03-09,Apple Inc.,AAPL,162.9499969482422
2022-03-10,Apple Inc.,AAPL,158.52000427246094
2022-03-11,Apple Inc.,AAPL,154.72999572753906
2022-03-14,Apple Inc.,AAPL,150.6199951171875
2022-03-15,Apple Inc.,AAPL,155.08999633789062
2022-03-16,Apple Inc.,AAPL,159.58999633789062
2022-03-17,Apple Inc.,AAPL,160.6199951171875
2022-03-18,Apple Inc.,AAPL,163.97999572753906
2022-03-21,Apple Inc.,AAPL,165.3800048828125
2022-03-22,Apple Inc.,AAPL,168.82000732421875
2022-03-23,Apple Inc.,AAPL,170.2100067138672
2022-03-24,Apple Inc.,AAPL,174.07000732421875
2022-03-25,Apple Inc.,AAPL,174.72000122070312
2022-03-28,Apple Inc.,AAPL,175.60000610351562
2022-03-29,Apple Inc.,AAPL,178.9600067138672
2022-03-30,Apple Inc.,AAPL,177.77000427246094
2022-03-31,Apple Inc.,AAPL,174.61000061035156
2022-04-01,Apple Inc.,AAPL,174.30999755859375
2022-04-04,Apple Inc.,AAPL,178.44000244140625
2022-04-05,Apple Inc.,AAPL,175.05999755859375
2022-04-06,Apple Inc.,AAPL,171.8300018310547
2022-04-07,Apple Inc.,AAPL,172.13999938964844
2022-04-08,Apple Inc.,AAPL,170.08999633789062
2022-04-11,Apple Inc.,AAPL,165.75
2022-04-12,Apple Inc.,AAPL,167.66000366210938
2022-04-13,Apple Inc.,AAPL,170.39999389648438
2022-04-14,Apple Inc.,AAPL,165.2899932861328
2022-04-18,Apple Inc.,AAPL,165.07000732421875
2022-04-19,Apple Inc.,AAPL,167.39999389648438
2022-04-20,Apple Inc.,AAPL,167.22999572753906
2022-04-21,Apple Inc.,AAPL,166.4199981689453
2022-04-22,Apple Inc.,AAPL,161.7899932861328
2022-04-25,Apple Inc.,AAPL,162.8800048828125
2022-04-26,Apple Inc.,AAPL,156.8000030517578
2022-04-27,Apple Inc.,AAPL,156.57000732421875
2022-04-28,Apple Inc.,AAPL,163.63999938964844
2022-04-29,Apple Inc.,AAPL,157.64999389648438
2022-05-02,Apple Inc.,AAPL,157.9600067138672
2022-05-03,Apple Inc.,AAPL,159.47999572753906
2022-05-04,Apple Inc.,AAPL,166.02000427246094
2022-05-05,Apple Inc.,AAPL,156.77000427246094
2022-05-06,Apple Inc.,AAPL,157.27999877929688
2022-05-09,Apple Inc.,AAPL,152.05999755859375
2022-05-10,Apple Inc.,AAPL,154.50999450683594
2022-05-11,Apple Inc.,AAPL,146.5
2022-05-12,Apple Inc.,AAPL,142.55999755859375
2022-05-13,Apple Inc.,AAPL,147.11000061035156
2022-05-16,Apple Inc.,AAPL,145.5399932861328
2022-05-17,Apple Inc.,AAPL,149.24000549316406
2022-05-18,Apple Inc.,AAPL,140.82000732421875
2022-05-19,Apple Inc.,AAPL,137.35000610351562
2022-05-20,Apple Inc.,AAPL,137.58999633789062
2022-05-23,Apple Inc.,AAPL,143.11000061035156
2022-05-24,Apple Inc.,AAPL,140.36000061035156
2022-05-25,Apple Inc.,AAPL,140.52000427246094
2022-05-26,Apple Inc.,AAPL,143.77999877929688
2022-05-27,Apple Inc.,AAPL,149.63999938964844
2022-05-31,Apple Inc.,AAPL,148.83999633789062
2022-06-01,Apple Inc.,AAPL,148.7100067138672
2022-06-02,Apple Inc.,AAPL,151.2100067138672
2022-06-03,Apple Inc.,AAPL,145.3800048828125
2022-06-06,Apple Inc.,AAPL,146.13999938964844
2022-06-07,Apple Inc.,AAPL,148.7100067138672
2022-06-08,Apple Inc.,AAPL,147.9600067138672
2022-06-09,Apple Inc.,AAPL,142.63999938964844
2022-06-10,Apple Inc.,AAPL,137.1300048828125
2022-06-13,Apple Inc.,AAPL,131.8800048828125
2022-06-14,Apple Inc.,AAPL,132.75999450683594
2022-06-15,Apple Inc.,AAPL,135.42999267578125
2022-06-16,Apple Inc.,AAPL,130.05999755859375
2022-06-17,Apple Inc.,AAPL,131.55999755859375
2022-06-21,Apple Inc.,AAPL,135.8699951171875
2022-06-22,Apple Inc.,AAPL,135.35000610351562
2022-06-23,Apple Inc.,AAPL,138.27000427246094
2022-06-24,Apple Inc.,AAPL,141.66000366210938
2022-06-27,Apple Inc.,AAPL,141.66000366210938
2022-06-28,Apple Inc.,AAPL,137.44000244140625
2022-06-29,Apple Inc.,AAPL,139.22999572753906
2022-06-30,Apple Inc.,AAPL,136.72000122070312
2022-07-01,Apple Inc.,AAPL,138.92999267578125
2022-07-05,Apple Inc.,AAPL,141.55999755859375
2022-07-06,Apple Inc.,AAPL,142.9199981689453
2022-07-07,Apple Inc.,AAPL,146.35000610351562
2022-07-08,Apple Inc.,AAPL,147.0399932861328
2022-07-11,Apple Inc.,AAPL,144.8699951171875
2022-07-12,Apple Inc.,AAPL,145.86000061035156
2022-07-13,Apple Inc.,AAPL,145.49000549316406
2022-07-14,Apple Inc.,AAPL,148.47000122070312
2022-07-15,Apple Inc.,AAPL,150.1699981689453
2022-07-18,Apple Inc.,AAPL,147.07000732421875
2022-07-19,Apple Inc.,AAPL,151.0
